label,x_px,y_px,area_px,color_l,color_a,color_b,circularity,eccentricity,extent,cluster_id,is_tree,lat,lon
80,2.5,36.5,48.0,23.2073947754661,-8.69361397723136,9.372233085356822,0.887428685560122,0.42257712736425834,0.6857142857142857,-1,True,,
81,278.7125,103.675,80.0,16.632171427299063,-5.688519144018208,7.904642844625542,0.7951801418358099,0.8319886100441327,0.6349206349206349,-1,True,,
82,245.7764705882353,157.45882352941177,85.0,20.540034594592363,-7.843598541147312,9.837717656170536,0.7727952862347179,0.7282845982395065,0.4722222222222222,-1,True,,
83,299.2439024390244,157.5487804878049,82.0,14.878784338304781,-6.799702331434723,7.545452163188196,0.7948252045247574,0.7323961446727977,0.5125,-1,True,,
84,195.19444444444446,171.63333333333333,180.0,17.65574112866789,-6.203723260692422,8.814115520533143,0.42798805724438577,0.9608485257901821,0.5357142857142857,-1,True,,
85,52.5974025974026,175.5974025974026,77.0,16.186445074724745,-8.050429216427197,10.274447515073831,0.9365934810850846,0.7121699671601759,0.7129629629629629,-1,True,,
86,125.65277777777777,175.70833333333334,72.0,16.66402686193364,-5.327514920961393,8.443523225061373,0.8219598542723755,0.6121046752625525,0.5,-1,True,,
87,144.25,209.6875,80.0,16.039593851705863,-7.102997277310503,8.510265907186469,0.8502907297302474,0.6621327804847869,0.5714285714285714,-1,True,,
88,106.3578947368421,212.0,95.0,15.23908982892699,-5.938902944046569,6.445823562408962,0.7159430525250966,0.8111676563518061,0.46568627450980393,-1,True,,
89,161.21774193548387,219.7983870967742,124.0,16.479741090065403,-4.1415579460636085,8.12637977490185,0.5662963845745763,0.9308534348779544,0.62,-1,True,,
90,334.6027397260274,246.17808219178082,73.0,19.969544246187837,-5.261405464365079,8.946696341061767,0.8315937045648574,0.6675488197971671,0.5615384615384615,-1,True,,
91,108.825,261.675,40.0,26.08782199718839,-4.109523251160619,8.413120404623935,0.8675192943541398,0.37129814583031806,0.6349206349206349,-1,True,,
92,122.20270270270271,104.22972972972973,74.0,14.732506436009405,-6.873185886614042,7.515732247837987,0.6931528257110355,0.6570393323966012,0.4805194805194805,-1,True,,
93,350.22222222222223,123.79012345679013,81.0,16.996745543907064,-6.0180923175117265,8.553924295839476,0.7124173617789833,0.8845030151924825,0.5625,-1,True,,
94,47.74242424242424,35.27272727272727,66.0,16.898659998209087,-4.424636040270454,7.027565442544665,0.7629587882902436,0.7111638757833307,0.5454545454545454,-1,True,,
95,330.01724137931035,69.24137931034483,58.0,16.903282312235554,-5.237578073797912,8.339386094929704,0.7894520751240796,0.7128910066070422,0.5370370370370371,-1,True,,
96,348.6741573033708,70.35955056179775,89.0,16.48735363975735,-7.453984040793726,8.744650871722984,0.7590700261348695,0.8581451358196075,0.7416666666666667,-1,True,,
97,191.93333333333334,120.36666666666666,60.0,17.791217556528363,-6.3804407947796555,9.145329780186744,0.7571599052719762,0.4522801008476766,0.49586776859504134,-1,True,,
98,18.8,123.23636363636363,55.0,11.827339882208829,-7.081911294925308,7.952689594653161,0.8726868867141326,0.738048800918793,0.625,-1,True,,
99,265.2093023255814,246.58139534883722,43.0,15.523487325022135,-6.639853676745406,8.675973658188036,1.0,0.6068533980156349,0.671875,-1,True,,
100,224.5,4.2592592592592595,54.0,15.586531570501991,-5.606826606579517,7.336651054977133,0.9095828925138422,0.7750244133663214,0.675,-1,True,,
101,172.9787234042553,4.829787234042553,47.0,19.044535501893648,-6.634579095090487,6.818945071106989,0.8267559507064747,0.8605538467015803,0.6103896103896104,-1,True,,
102,207.39655172413794,4.741379310344827,58.0,15.910363652792643,-6.736236762617148,5.771152433900636,0.9363650062762233,0.7508538808286568,0.725,-1,True,,
103,312.34615384615387,70.36538461538461,52.0,19.8220774009209,-8.083192485822618,9.501409888149631,0.8605375959251472,0.7469784149672737,0.5909090909090909,-1,True,,
104,315.71875,86.59375,64.0,17.508865157157437,-6.7333253401286,7.857876910040453,0.807637232290108,0.8300617873148062,0.6153846153846154,-1,True,,
